City,Month,Disaster,Value,Unit,Threshold,Above/Below,Severity,Scale,Year
New York City,2029-01,Heatwave,9.62654610271291,°C,32.0,Below,Low,3.026245184819247,2029
New York City,2029-02,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841,2029
New York City,2029-03,Heatwave,13.16283398125259,°C,32.0,Below,Medium,3.7256973907567414,2029
New York City,2029-04,Heatwave,19.17093659697108,°C,32.0,Below,Medium,4.9140567021028865,2029
New York City,2029-05,Heatwave,24.751565427078205,°C,32.0,Below,High,6.01786478555245,2029
New York City,2029-06,Heatwave,29.59501136706701,°C,32.0,Below,High,6.975863416722477,2029
New York City,2029-07,Heatwave,31.59413607293871,°C,32.0,Below,High,7.371275847353982,2029
New York City,2029-08,Heatwave,31.40075714907833,°C,32.0,Below,High,7.333026892652983,2029
New York City,2029-09,Heatwave,29.61131905203282,°C,32.0,Below,High,6.9790889590467575,2029
New York City,2029-10,Heatwave,23.056291815375083,°C,32.0,Below,High,5.682551907161159,2029
New York City,2029-11,Heatwave,13.515943603761244,°C,32.0,Below,Medium,3.795539924194214,2029
New York City,2029-12,Heatwave,12.35766714590567,°C,32.0,Below,Medium,3.5664412050404137,2029
New York City,2029-01,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2029
New York City,2029-01,Flood,0.0,mm,50.0,Below,Low,1.0,2029
New York City,2029-02,Drought,0.3092594730153074,mm,0.0621003741262693,Above,Low,1.5051996798664515,2029
New York City,2029-02,Flood,0.3092594730153074,mm,50.0,Below,Low,1.5051996798664515,2029
New York City,2029-03,Drought,0.0329665778969587,mm,0.0621003741262693,Below,Low,1.053853498608955,2029
New York City,2029-03,Flood,0.0329665778969587,mm,50.0,Below,Low,1.053853498608955,2029
New York City,2029-04,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2029
New York City,2029-04,Flood,0.0,mm,50.0,Below,Low,1.0,2029
New York City,2029-05,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2029
New York City,2029-05,Flood,0.0,mm,50.0,Below,Low,1.0,2029
New York City,2029-06,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2029
New York City,2029-06,Flood,0.0,mm,50.0,Below,Low,1.0,2029
New York City,2029-07,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2029
New York City,2029-07,Flood,0.0,mm,50.0,Below,Low,1.0,2029
New York City,2029-08,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2029
New York City,2029-08,Flood,0.0,mm,50.0,Below,Low,1.0,2029
New York City,2029-09,Drought,0.0008316467847054,mm,0.0621003741262693,Below,Low,1.001358560451839,2029
New York City,2029-09,Flood,0.0008316467847054,mm,50.0,Below,Low,1.001358560451839,2029
New York City,2029-10,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2029
New York City,2029-10,Flood,0.0,mm,50.0,Below,Low,1.0,2029
New York City,2029-11,Drought,0.0184344643765754,mm,0.0621003741262693,Below,Low,1.03011414787315,2029
New York City,2029-11,Flood,0.0184344643765754,mm,50.0,Below,Low,1.03011414787315,2029
New York City,2029-12,Drought,0.2659850912807118,mm,0.0621003741262693,Above,Low,1.434507572732019,2029
New York City,2029-12,Flood,0.2659850912807118,mm,50.0,Below,Low,1.434507572732019,2029
New York City,2029-01,Cyclone,1013.5353024803228,hPa,1011.0,Above,High,6.04463614691186,2029
New York City,2029-02,Cyclone,1016.0119605178928,hPa,1011.0,Above,High,6.519596664529891,2029
New York City,2029-03,Cyclone,1005.3129703751256,hPa,1011.0,Below,Medium,4.467800324820128,2029
New York City,2029-04,Cyclone,1009.2374045276324,hPa,1011.0,Below,Medium,5.220407769270286,2029
New York City,2029-05,Cyclone,1015.405028761654,hPa,1011.0,Above,High,6.4032024685088444,2029
New York City,2029-06,Cyclone,1015.4714298748796,hPa,1011.0,Above,High,6.415936526513482,2029
New York City,2029-07,Cyclone,1019.6384132233848,hPa,1011.0,Above,High,7.215058786465675,2029
New York City,2029-08,Cyclone,1023.2563236365704,hPa,1011.0,Above,Very High,7.908882712286416,2029
New York City,2029-09,Cyclone,1019.5635249893844,hPa,1011.0,Above,High,7.2006971128535975,2029
New York City,2029-10,Cyclone,1011.5011888904012,hPa,1011.0,Above,High,5.654544487543756,2029
New York City,2029-11,Cyclone,1021.5995548069036,hPa,1011.0,Above,High,7.591156256322378,2029
New York City,2029-12,Cyclone,1012.742473701142,hPa,1011.0,Above,High,5.892591592665828,2029
New York City,2029-01,Windstorm,7.213803767451811,m/s,11.0,Below,Medium,3.6661965765762976,2029
New York City,2029-02,Windstorm,9.198998983067296,m/s,11.0,Below,Medium,4.529501435961224,2029
