City,Month,Disaster,Value,Unit,Threshold,Above/Below,Severity,Scale,Year
New York City,2030-01,Heatwave,9.003306304534101,°C,32.0,Below,Low,2.9029728533131864,2030
New York City,2030-02,Heatwave,12.41617573650287,°C,32.0,Below,Medium,3.578013781755069,2030
New York City,2030-03,Heatwave,14.352648997394072,°C,32.0,Below,Medium,3.961034208991512,2030
New York City,2030-04,Heatwave,19.22346345529661,°C,32.0,Below,Medium,4.92444613536982,2030
New York City,2030-05,Heatwave,24.05529538732248,°C,32.0,Below,High,5.880147599632496,2030
New York City,2030-06,Heatwave,25.756804763091623,°C,32.0,Below,High,6.2166938671260015,2030
New York City,2030-07,Heatwave,29.611521868949648,°C,32.0,Below,High,6.979129074768314,2030
New York City,2030-08,Heatwave,29.6388636643624,°C,32.0,Below,High,6.984537084458871,2030
New York City,2030-09,Heatwave,29.60190212201839,°C,32.0,Below,High,6.97722635829196,2030
New York City,2030-10,Heatwave,21.51351477435807,°C,32.0,Below,Medium,5.377401749234908,2030
New York City,2030-11,Heatwave,19.158944967115005,°C,32.0,Below,Medium,4.911684844311975,2030
New York City,2030-12,Heatwave,12.2123835106318,°C,32.0,Below,Medium,3.537705151113466,2030
New York City,2030-01,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2030
New York City,2030-01,Flood,0.0,mm,50.0,Below,Low,1.0,2030
New York City,2030-02,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2030
New York City,2030-02,Flood,0.0,mm,50.0,Below,Low,1.0,2030
New York City,2030-03,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2030
New York City,2030-03,Flood,0.0,mm,50.0,Below,Low,1.0,2030
New York City,2030-04,Drought,0.01436805777968,mm,0.0621003741262693,Below,Low,1.023471352776436,2030
New York City,2030-04,Flood,0.01436805777968,mm,50.0,Below,Low,1.023471352776436,2030
New York City,2030-05,Drought,0.036417154469668,mm,0.0621003741262693,Below,Low,1.0594902869113172,2030
New York City,2030-05,Flood,0.036417154469668,mm,50.0,Below,Low,1.0594902869113172,2030
New York City,2030-06,Drought,0.0027289746487023,mm,0.0621003741262693,Below,Low,1.0044579947881491,2030
New York City,2030-06,Flood,0.0027289746487023,mm,50.0,Below,Low,1.0044579947881491,2030
New York City,2030-07,Drought,0.0339699890148077,mm,0.0621003741262693,Below,Low,1.05549264961238,2030
New York City,2030-07,Flood,0.0339699890148077,mm,50.0,Below,Low,1.05549264961238,2030
New York City,2030-08,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2030
New York City,2030-08,Flood,0.0,mm,50.0,Below,Low,1.0,2030
New York City,2030-09,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2030
New York City,2030-09,Flood,0.0,mm,50.0,Below,Low,1.0,2030
New York City,2030-10,Drought,0.4943136706588044,mm,0.0621003741262693,Above,Low,1.8075002706807233,2030
New York City,2030-10,Flood,0.4943136706588044,mm,50.0,Below,Low,1.8075002706807233,2030
New York City,2030-11,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2030
New York City,2030-11,Flood,0.0,mm,50.0,Below,Low,1.0,2030
New York City,2030-12,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2030
New York City,2030-12,Flood,0.0,mm,50.0,Below,Low,1.0,2030
New York City,2030-01,Cyclone,1027.745805161128,hPa,1011.0,Above,Very High,8.76985198474704,2030
New York City,2030-02,Cyclone,1017.5988001125424,hPa,1011.0,Above,High,6.8239124577554495,2030
New York City,2030-03,Cyclone,1013.548711419827,hPa,1011.0,Above,High,6.047207643158418,2030
New York City,2030-04,Cyclone,1011.6449464821292,hPa,1011.0,Above,High,5.682113566174264,2030
New York City,2030-05,Cyclone,1010.709339299674,hPa,1011.0,Below,High,5.50268771693507,2030
New York City,2030-06,Cyclone,1016.9501357926353,hPa,1011.0,Above,High,6.699515009068608,2030
New York City,2030-07,Cyclone,1015.3715461176168,hPa,1011.0,Above,High,6.396781342256512,2030
New York City,2030-08,Cyclone,1015.4635546503788,hPa,1011.0,Above,High,6.414426257171277,2030
New York City,2030-09,Cyclone,1015.3301798328472,hPa,1011.0,Above,High,6.388848332641101,2030
New York City,2030-10,Cyclone,1025.8999333628112,hPa,1011.0,Above,Very High,8.415860351067481,2030
New York City,2030-11,Cyclone,1019.6046083533008,hPa,1011.0,Above,High,7.208575865388355,2030
New York City,2030-12,Cyclone,1023.2423617945576,hPa,1011.0,Above,Very High,7.906205183290201,2030
New York City,2030-01,Windstorm,21.2401186521304,m/s,11.0,Above,Very High,9.765841439689629,2030
New York City,2030-02,Windstorm,16.485822839365934,m/s,11.0,Above,High,7.698333596718903,2030
New York City,2030-03,Windstorm,16.616646346798426,m/s,11.0,Above,Very High,7.755225014147206,2030
New York City,2030-04,Windstorm,11.743632489896736,m/s,11.0,Above,High,5.636090074962389,2030
New York City,2030-05,Windstorm,6.992119414126126,m/s,11.0,Below,Medium,3.569792365055803,2030
New York City,2030-06,Windstorm,7.261454228930939,m/s,11.0,Below,Medium,3.6869184051517863,2030
New York City,2030-07,Windstorm,5.82366374793103,m/s,11.0,Below,Low,3.061664274343408,2030
New York City,2030-08,Windstorm,7.320230235145733,m/s,11.0,Below,Medium,3.712478416268748,2030
New York City,2030-09,Windstorm,3.903493008148742,m/s,11.0,Below,Low,2.226636707551267,2030
New York City,2030-10,Windstorm,7.292201977937362,m/s,11.0,Below,Medium,3.700289725475145,2030
New York City,2030-11,Windstorm,7.265254053104566,m/s,11.0,Below,Medium,3.6885708404629822,2030
New York City,2030-12,Windstorm,17.0161122476258,m/s,11.0,Above,Very High,7.928941357321008,2030
San Francisco Bay Area,2030-01,Heatwave,12.72015380859375,°C,32.0,Below,Medium,3.638138449311375,2030
San Francisco Bay Area,2030-02,Heatwave,13.28191491069206,°C,32.0,Below,Medium,3.749250738686074,2030
San Francisco Bay Area,2030-03,Heatwave,16.24987764956194,°C,32.0,Below,Medium,4.33629233601782,2030
San Francisco Bay Area,2030-04,Heatwave,19.4246434795444,°C,32.0,Below,Medium,4.964238091393713,2030
San Francisco Bay Area,2030-05,Heatwave,22.657203834362555,°C,32.0,Below,High,5.603615186433086,2030
San Francisco Bay Area,2030-06,Heatwave,24.0071054637552,°C,32.0,Below,High,5.87061598074263,2030
San Francisco Bay Area,2030-07,Heatwave,26.396846908409387,°C,32.0,Below,High,6.343289581562108,2030
San Francisco Bay Area,2030-08,Heatwave,27.001620049909228,°C,32.0,Below,High,6.462909341729513,2030
San Francisco Bay Area,2030-09,Heatwave,26.49081461994308,°C,32.0,Below,High,6.361875716338637,2030
San Francisco Bay Area,2030-10,Heatwave,23.70246868345069,°C,32.0,Below,High,5.810361025458368,2030
San Francisco Bay Area,2030-11,Heatwave,19.9176921872332,°C,32.0,Below,Medium,5.061759565343955,2030
San Francisco Bay Area,2030-12,Heatwave,14.672671117732277,°C,32.0,Below,Medium,4.02433227343297,2030
San Francisco Bay Area,2030-01,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-01,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-02,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-02,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-03,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-03,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-04,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-04,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-05,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-05,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-06,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-06,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-07,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-07,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-08,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-08,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-09,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-09,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-10,Drought,0.0009536743164062,mm,9.756336713004153e-06,Above,Low,1.0015579020252725,2030
San Francisco Bay Area,2030-10,Flood,0.0009536743164062,mm,50.0,Below,Low,1.0015579020252725,2030
San Francisco Bay Area,2030-11,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-11,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-12,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2030
San Francisco Bay Area,2030-12,Flood,0.0,mm,50.0,Below,Low,1.0,2030
San Francisco Bay Area,2030-01,Cyclone,1034.1517620142713,hPa,1011.0,Above,Very High,9.998352866440417,2030
San Francisco Bay Area,2030-02,Cyclone,1016.9319858147052,hPa,1011.0,Above,High,6.696034301283497,2030
San Francisco Bay Area,2030-03,Cyclone,1013.9553199013732,hPa,1011.0,Above,High,6.1251848898890735,2030
San Francisco Bay Area,2030-04,Cyclone,1013.8895136701952,hPa,1011.0,Above,High,6.112564915250416,2030
San Francisco Bay Area,2030-05,Cyclone,1012.9440024232402,hPa,1011.0,Above,High,5.9312397163513255,2030
San Francisco Bay Area,2030-06,Cyclone,1014.3546606758572,hPa,1011.0,Above,High,6.201768373792653,2030
San Francisco Bay Area,2030-07,Cyclone,1013.9503762077768,hPa,1011.0,Above,High,6.124236814202459,2030
San Francisco Bay Area,2030-08,Cyclone,1013.8076133331392,hPa,1011.0,Above,High,6.096858497210003,2030
San Francisco Bay Area,2030-09,Cyclone,1016.1730112417622,hPa,1011.0,Above,High,6.550482129544193,2030
San Francisco Bay Area,2030-10,Cyclone,1026.883394606375,hPa,1011.0,Above,Very High,8.604463401716597,2030
San Francisco Bay Area,2030-11,Cyclone,1024.88167240157,hPa,1011.0,Above,Very High,8.22058359267582,2030
San Francisco Bay Area,2030-12,Cyclone,1024.855859070296,hPa,1011.0,Above,Very High,8.215633247090196,2030
San Francisco Bay Area,2030-01,Windstorm,9.789109234097287,m/s,11.0,Below,Medium,4.7861235773404545,2030
San Francisco Bay Area,2030-02,Windstorm,15.760156571204856,m/s,11.0,Above,High,7.382762004228964,2030
San Francisco Bay Area,2030-03,Windstorm,13.886825997690057,m/s,11.0,Above,High,6.568103891702602,2030
San Francisco Bay Area,2030-04,Windstorm,10.508835780944276,m/s,11.0,Below,Medium,5.0991121541987265,2030
San Francisco Bay Area,2030-05,Windstorm,3.899343031748129,m/s,11.0,Below,Low,2.224832001009159,2030
San Francisco Bay Area,2030-06,Windstorm,3.8061513821442183,m/s,11.0,Below,Low,2.1843056067662587,2030
San Francisco Bay Area,2030-07,Windstorm,3.477387650158811,m/s,11.0,Below,Low,2.0413356231696937,2030
San Francisco Bay Area,2030-08,Windstorm,5.781699959617272,m/s,11.0,Below,Low,3.0434154179667137,2030
San Francisco Bay Area,2030-09,Windstorm,2.592644214630127,m/s,11.0,Below,Low,1.6565859012316322,2030
San Francisco Bay Area,2030-10,Windstorm,6.47578110325705,m/s,11.0,Below,Medium,3.3452515393709716,2030
San Francisco Bay Area,2030-11,Windstorm,5.989812185402943,m/s,11.0,Below,Low,3.133917497764685,2030
San Francisco Bay Area,2030-12,Windstorm,8.476245744975696,m/s,11.0,Below,Medium,4.215196637283166,2030
Los Angeles,2030-01,Heatwave,7.01702880859375,°C,32.0,Below,Low,2.5101015080331184,2030
Los Angeles,2030-02,Heatwave,15.925124889057994,°C,32.0,Below,Medium,4.272058585112739,2030
Los Angeles,2030-03,Heatwave,19.949366035066348,°C,32.0,Below,Medium,5.068024423720409,2030
Los Angeles,2030-04,Heatwave,24.469219072267677,°C,32.0,Below,High,5.962018715466044,2030
Los Angeles,2030-05,Heatwave,27.551472502873928,°C,32.0,Below,High,6.5716661863009795,2030
Los Angeles,2030-06,Heatwave,30.9989468398258,°C,32.0,Below,High,7.253551715057665,2030
Los Angeles,2030-07,Heatwave,35.57081613271571,°C,32.0,Above,Very High,8.157834446555839,2030
Los Angeles,2030-08,Heatwave,35.58531069307497,°C,32.0,Above,Very High,8.16070136592598,2030
Los Angeles,2030-09,Heatwave,35.51689531595307,°C,32.0,Above,Very High,8.147169298376173,2030
Los Angeles,2030-10,Heatwave,26.621113915018487,°C,32.0,Below,High,6.387647975980075,2030
Los Angeles,2030-11,Heatwave,20.1197560065764,°C,32.0,Below,Medium,5.10172632965561,2030
Los Angeles,2030-12,Heatwave,7.01702880859375,°C,32.0,Below,Low,2.5101015080331184,2030
Los Angeles,2030-01,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-01,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-02,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-02,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-03,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-03,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-04,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-04,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-05,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-05,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-06,Drought,0.0003058322216768,mm,0.0095467093425658,Below,Low,1.0004996009951692,2030
Los Angeles,2030-06,Flood,0.0003058322216768,mm,50.0,Below,Low,1.0004996009951692,2030
Los Angeles,2030-07,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-07,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-08,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-08,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-09,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-09,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-10,Drought,1.072406768798828,mm,0.0095467093425658,Above,Low,2.7518608274190752,2030
Los Angeles,2030-10,Flood,1.072406768798828,mm,50.0,Below,Low,2.7518608274190752,2030
Los Angeles,2030-11,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-11,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-12,Drought,0.0,mm,0.0095467093425658,Below,Low,1.0,2030
Los Angeles,2030-12,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Los Angeles,2030-01,Cyclone,1030.829345703125,hPa,1011.0,Above,Very High,9.361197253131396,2030
Los Angeles,2030-02,Cyclone,1017.365054662,hPa,1011.0,Above,High,6.779085978485258,2030
Los Angeles,2030-03,Cyclone,1014.9238331251642,hPa,1011.0,Above,High,6.310921287532007,2030
Los Angeles,2030-04,Cyclone,1009.3619177538842,hPa,1011.0,Below,Medium,5.244286264199229,2030
Los Angeles,2030-05,Cyclone,1005.3356036347204,hPa,1011.0,Below,Medium,4.472140812901032,2030
Los Angeles,2030-06,Cyclone,1009.9118774283452,hPa,1011.0,Below,Medium,5.349754652522761,2030
Los Angeles,2030-07,Cyclone,1011.0734580651545,hPa,1011.0,Above,High,5.572516508275492,2030
Los Angeles,2030-08,Cyclone,1009.9035251112674,hPa,1011.0,Below,Medium,5.348152888862867,2030
Los Angeles,2030-09,Cyclone,1016.2733721604728,hPa,1011.0,Above,High,6.5697288213265574,2030
Los Angeles,2030-10,Cyclone,1024.0888475811828,hPa,1011.0,Above,Very High,8.06853979762649,2030
Los Angeles,2030-11,Cyclone,1024.8349735697177,hPa,1011.0,Above,Very High,8.211627935087126,2030
Los Angeles,2030-12,Cyclone,1024.9378498418794,hPa,1011.0,Above,Very High,8.231357008191,2030
Los Angeles,2030-01,Windstorm,9.584602425209576,m/s,11.0,Below,Medium,4.697189390666361,2030
Los Angeles,2030-02,Windstorm,12.721662314905602,m/s,11.0,Above,High,6.061407390817276,2030
Los Angeles,2030-03,Windstorm,14.36629323457374,m/s,11.0,Above,High,6.776610537427726,2030
Los Angeles,2030-04,Windstorm,13.357714534417813,m/s,11.0,Above,High,6.338008385826835,2030
Los Angeles,2030-05,Windstorm,10.291503147118815,m/s,11.0,Below,Medium,5.004600381548562,2030
Los Angeles,2030-06,Windstorm,6.231670398335853,m/s,11.0,Below,Low,3.239094746261327,2030
Los Angeles,2030-07,Windstorm,3.724263546995625,m/s,11.0,Below,Low,2.148694919488648,2030
Los Angeles,2030-08,Windstorm,4.588293179613219,m/s,11.0,Below,Low,2.5244367984857106,2030
Los Angeles,2030-09,Windstorm,5.989310501321203,m/s,11.0,Below,Low,3.1336993296458844,2030
Los Angeles,2030-10,Windstorm,7.98891504161665,m/s,11.0,Below,Medium,4.0032703939454795,2030
Los Angeles,2030-11,Windstorm,6.723473086339938,m/s,11.0,Below,Medium,3.4529657283555797,2030
Los Angeles,2030-12,Windstorm,8.910679858549424,m/s,11.0,Below,Medium,4.40411966025877,2030
Chicago,2030-01,Heatwave,12.425793540446262,°C,32.0,Below,Medium,3.579916113922454,2030
Chicago,2030-02,Heatwave,13.689609254843363,°C,32.0,Below,Medium,3.8298897358942505,2030
Chicago,2030-03,Heatwave,14.134608845483347,°C,32.0,Below,Medium,3.917907441467178,2030
Chicago,2030-04,Heatwave,21.93216612558077,°C,32.0,Below,Medium,5.460207963318461,2030
Chicago,2030-05,Heatwave,24.768645617969696,°C,32.0,Below,High,6.021243123970367,2030
Chicago,2030-06,Heatwave,24.05486192558545,°C,32.0,Below,High,5.880061864031049,2030
Chicago,2030-07,Heatwave,31.21124410891763,°C,32.0,Below,High,7.295542581831245,2030
Chicago,2030-08,Heatwave,36.54215254613599,°C,32.0,Above,Very High,8.349957774862126,2030
Chicago,2030-09,Heatwave,29.46578351280609,°C,32.0,Below,High,6.950303080336997,2030
Chicago,2030-10,Heatwave,23.06478981784816,°C,32.0,Below,High,5.684232750684087,2030
Chicago,2030-11,Heatwave,22.22242822246895,°C,32.0,Below,High,5.517619710026231,2030
Chicago,2030-12,Heatwave,13.777892841720927,°C,32.0,Below,Medium,3.8473515918603103,2030
Chicago,2030-01,Drought,0.0,mm,0.0115479307937854,Below,Low,1.0,2030
Chicago,2030-01,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Chicago,2030-02,Drought,0.0,mm,0.0115479307937854,Below,Low,1.0,2030
Chicago,2030-02,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Chicago,2030-03,Drought,0.0,mm,0.0115479307937854,Below,Low,1.0,2030
Chicago,2030-03,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Chicago,2030-04,Drought,0.4496856219719741,mm,0.0115479307937854,Above,Low,1.734596842081351,2030
Chicago,2030-04,Flood,0.4496856219719741,mm,50.0,Below,Low,1.734596842081351,2030
Chicago,2030-05,Drought,0.0031949372413667,mm,0.0115479307937854,Below,Low,1.005219181342432,2030
Chicago,2030-05,Flood,0.0031949372413667,mm,50.0,Below,Low,1.005219181342432,2030
Chicago,2030-06,Drought,0.0385614278014836,mm,0.0115479307937854,Above,Low,1.06299312609751,2030
Chicago,2030-06,Flood,0.0385614278014836,mm,50.0,Below,Low,1.06299312609751,2030
Chicago,2030-07,Drought,0.0,mm,0.0115479307937854,Below,Low,1.0,2030
Chicago,2030-07,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Chicago,2030-08,Drought,0.0,mm,0.0115479307937854,Below,Low,1.0,2030
Chicago,2030-08,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Chicago,2030-09,Drought,0.0,mm,0.0115479307937854,Below,Low,1.0,2030
Chicago,2030-09,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Chicago,2030-10,Drought,0.0,mm,0.0115479307937854,Below,Low,1.0,2030
Chicago,2030-10,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Chicago,2030-11,Drought,0.0,mm,0.0115479307937854,Below,Low,1.0,2030
Chicago,2030-11,Flood,0.0,mm,50.0,Below,Low,1.0,2030
Chicago,2030-12,Drought,0.0234848499674526,mm,0.0115479307937854,Above,Low,1.0383643500701478,2030
Chicago,2030-12,Flood,0.0234848499674526,mm,50.0,Below,Low,1.0383643500701478,2030
Chicago,2030-01,Cyclone,1025.7615572283712,hPa,1011.0,Above,Very High,8.38932330015346,2030
Chicago,2030-02,Cyclone,1018.3358009890518,hPa,1011.0,Above,High,6.9652506289852845,2030
Chicago,2030-03,Cyclone,1010.2569327847356,hPa,1011.0,Below,Medium,5.415927563030363,2030
Chicago,2030-04,Cyclone,1010.007629435801,hPa,1011.0,Below,Medium,5.368117471424004,2030
Chicago,2030-05,Cyclone,1010.7290145987436,hPa,1011.0,Below,High,5.5064609428260205,2030
Chicago,2030-06,Cyclone,1018.2050558773932,hPa,1011.0,Above,High,6.940177015685677,2030
Chicago,2030-07,Cyclone,1015.5319838840876,hPa,1011.0,Above,High,6.427549257508629,2030
Chicago,2030-08,Cyclone,1014.5741581201004,hPa,1011.0,Above,High,6.2438624449773314,2030
Chicago,2030-09,Cyclone,1015.1200432193516,hPa,1011.0,Above,High,6.348549432590171,2030
Chicago,2030-10,Cyclone,1026.6383791732007,hPa,1011.0,Above,Very High,8.557475624155241,2030
Chicago,2030-11,Cyclone,1014.9929940711452,hPa,1011.0,Above,High,6.324184611819735,2030
Chicago,2030-12,Cyclone,1020.0267540364224,hPa,1011.0,Above,High,7.28953275532798,2030
Chicago,2030-01,Windstorm,14.080967788435515,m/s,11.0,Above,High,6.652530627190317,2030
Chicago,2030-02,Windstorm,8.769262679076872,m/s,11.0,Below,Medium,4.342621356576171,2030
Chicago,2030-03,Windstorm,9.518222746356717,m/s,11.0,Below,Medium,4.668322758877549,2030
Chicago,2030-04,Windstorm,8.256663497214582,m/s,11.0,Below,Medium,4.119706571603121,2030
Chicago,2030-05,Windstorm,6.153209993454313,m/s,11.0,Below,Low,3.2049745507910083,2030
Chicago,2030-06,Windstorm,5.091923543684852,m/s,11.0,Below,Low,2.7434513000404306,2030
Chicago,2030-07,Windstorm,4.599114708115836,m/s,11.0,Below,Low,2.529142773026046,2030
Chicago,2030-08,Windstorm,6.296895358797713,m/s,11.0,Below,Medium,3.2674592239091615,2030
