City,Month,Disaster,Value,Unit,Threshold,Above/Below,Severity,Scale,Year
New York City,2027-01,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841,2027
New York City,2027-02,Heatwave,12.56174257696016,°C,32.0,Below,Medium,3.606805851622199,2027
New York City,2027-03,Heatwave,8.602508544921875,°C,32.0,Below,Low,2.823697950724841,2027
New York City,2027-04,Heatwave,14.312797935057064,°C,32.0,Below,Medium,3.953151956635948,2027
New York City,2027-05,Heatwave,19.31565453842355,°C,32.0,Below,Medium,4.94268086587698,2027
New York City,2027-06,Heatwave,29.60088335189493,°C,32.0,Below,High,6.977024852918338,2027
New York City,2027-07,Heatwave,29.62996883730218,°C,32.0,Below,High,6.982777751898175,2027
New York City,2027-08,Heatwave,29.62091938744398,°C,32.0,Below,High,6.980987836064612,2027
New York City,2027-09,Heatwave,29.60710708685417,°C,32.0,Below,High,6.978255862750097,2027
New York City,2027-10,Heatwave,24.42628063853817,°C,32.0,Below,High,5.953525803343741,2027
New York City,2027-11,Heatwave,14.016856852236057,°C,32.0,Below,Medium,3.8946169475200714,2027
New York City,2027-12,Heatwave,13.089265999158195,°C,32.0,Below,Medium,3.711146175151653,2027
New York City,2027-01,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2027
New York City,2027-01,Flood,0.0,mm,50.0,Below,Low,1.0,2027
New York City,2027-02,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2027
New York City,2027-02,Flood,0.0,mm,50.0,Below,Low,1.0,2027
New York City,2027-03,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2027
New York City,2027-03,Flood,0.0,mm,50.0,Below,Low,1.0,2027
New York City,2027-04,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2027
New York City,2027-04,Flood,0.0,mm,50.0,Below,Low,1.0,2027
New York City,2027-05,Drought,0.0188615078903154,mm,0.0621003741262693,Below,Low,1.030811757050088,2027
New York City,2027-05,Flood,0.0188615078903154,mm,50.0,Below,Low,1.030811757050088,2027
New York City,2027-06,Drought,0.0,mm,0.0621003741262693,Below,Low,1.0,2027
New York City,2027-06,Flood,0.0,mm,50.0,Below,Low,1.0,2027
New York City,2027-07,Drought,0.0981159623195104,mm,0.0621003741262693,Above,Low,1.160280143629269,2027
New York City,2027-07,Flood,0.0981159623195104,mm,50.0,Below,Low,1.160280143629269,2027
New York City,2027-08,Drought,2.7143602591399394,mm,0.0621003741262693,Above,Medium,5.434121033026015,2027
New York City,2027-08,Flood,2.7143602591399394,mm,50.0,Below,Medium,5.434121033026015,2027
New York City,2027-09,Drought,0.4749202367314746,mm,0.0621003741262693,Above,Low,1.7758195706003956,2027
New York City,2027-09,Flood,0.4749202367314746,mm,50.0,Below,Low,1.7758195706003956,2027
New York City,2027-10,Drought,3.1578379558136787,mm,0.0621003741262693,Above,High,6.15857674073006,2027
New York City,2027-10,Flood,3.1578379558136787,mm,50.0,Below,High,6.15857674073006,2027
New York City,2027-11,Drought,0.0170164676625746,mm,0.0621003741262693,Below,Low,1.027797738681282,2027
New York City,2027-11,Flood,0.0170164676625746,mm,50.0,Below,Low,1.027797738681282,2027
New York City,2027-12,Drought,0.001033879507821,mm,0.0621003741262693,Below,Low,1.001688923515516,2027
New York City,2027-12,Flood,0.001033879507821,mm,50.0,Below,Low,1.001688923515516,2027
New York City,2027-01,Cyclone,1019.5958084872748,hPa,1011.0,Above,High,7.20688827313327,2027
New York City,2027-02,Cyclone,1026.0783186297813,hPa,1011.0,Above,Very High,8.450070144042638,2027
New York City,2027-03,Cyclone,1019.616475913112,hPa,1011.0,Above,High,7.210851763903728,2027
New York City,2027-04,Cyclone,1012.4164211192962,hPa,1011.0,Above,High,5.830062934815213,2027
New York City,2027-05,Cyclone,1010.4693545275916,hPa,1011.0,Below,Medium,5.456664693231512,2027
New York City,2027-06,Cyclone,1015.323191221072,hPa,1011.0,Above,High,6.387508093247595,2027
New York City,2027-07,Cyclone,1019.5957802790988,hPa,1011.0,Above,High,7.206882863516897,2027
New York City,2027-08,Cyclone,1019.195211133076,hPa,1011.0,Above,High,7.130063808947913,2027
New York City,2027-09,Cyclone,1024.08313332616,hPa,1011.0,Above,Very High,8.067443947701994,2027
New York City,2027-10,Cyclone,1013.4393544001954,hPa,1011.0,Above,High,6.026235726219755,2027
New York City,2027-11,Cyclone,1021.1945298121996,hPa,1011.0,Above,High,7.513482682411619,2027
New York City,2027-12,Cyclone,1009.3624653272392,hPa,1011.0,Below,Medium,5.244391274951694,2027
New York City,2027-01,Windstorm,15.722542392286242,m/s,11.0,Above,High,7.366404669097998,2027
New York City,2027-02,Windstorm,5.699746730615669,m/s,11.0,Below,Low,3.007776292764896,2027
New York City,2027-03,Windstorm,10.532594280545108,m/s,11.0,Below,Medium,5.10944404901479,2027
New York City,2027-04,Windstorm,16.558763442202462,m/s,11.0,Above,High,7.730053387488053,2027
New York City,2027-05,Windstorm,9.848708565481898,m/s,11.0,Below,Medium,4.8120416291248365,2027
New York City,2027-06,Windstorm,7.065455295730974,m/s,11.0,Below,Medium,3.6016840513034523,2027
New York City,2027-07,Windstorm,5.837079952397664,m/s,11.0,Below,Low,3.067498599562128,2027
New York City,2027-08,Windstorm,5.986294011295172,m/s,11.0,Below,Low,3.132387544045519,2027
New York City,2027-09,Windstorm,7.152487372256751,m/s,11.0,Below,Medium,3.63953182264405,2027
New York City,2027-10,Windstorm,7.168177056553536,m/s,11.0,Below,Medium,3.646354819490449,2027
New York City,2027-11,Windstorm,9.960400390760093,m/s,11.0,Below,Medium,4.8606132228692545,2027
New York City,2027-12,Windstorm,10.953397295498531,m/s,11.0,Below,Medium,5.292439295424593,2027
San Francisco Bay Area,2027-01,Heatwave,12.72015380859375,°C,32.0,Below,Medium,3.638138449311375,2027
San Francisco Bay Area,2027-02,Heatwave,16.11521672805707,°C,32.0,Below,Medium,4.309657378165053,2027
San Francisco Bay Area,2027-03,Heatwave,12.857929046578883,°C,32.0,Below,Medium,3.665389396474664,2027
San Francisco Bay Area,2027-04,Heatwave,16.787441829171637,°C,32.0,Below,Medium,4.442618648856426,2027
San Francisco Bay Area,2027-05,Heatwave,20.08644797430451,°C,32.0,Below,Medium,5.095138241398034,2027
San Francisco Bay Area,2027-06,Heatwave,24.955849626322276,°C,32.0,Below,High,6.058270724974567,2027
San Francisco Bay Area,2027-07,Heatwave,26.96483854490071,°C,32.0,Below,High,6.455634225647467,2027
San Francisco Bay Area,2027-08,Heatwave,26.813560309001566,°C,32.0,Below,High,6.425712483005381,2027
San Francisco Bay Area,2027-09,Heatwave,26.52206812498749,°C,32.0,Below,High,6.368057433946882,2027
San Francisco Bay Area,2027-10,Heatwave,24.341707299746343,°C,32.0,Below,High,5.93679780765639,2027
San Francisco Bay Area,2027-11,Heatwave,17.40405020116408,°C,32.0,Below,Medium,4.564579332150045,2027
San Francisco Bay Area,2027-12,Heatwave,16.260296759923513,°C,32.0,Below,Medium,4.338353160808283,2027
San Francisco Bay Area,2027-01,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2027
San Francisco Bay Area,2027-01,Flood,0.0,mm,50.0,Below,Low,1.0,2027
San Francisco Bay Area,2027-02,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2027
San Francisco Bay Area,2027-02,Flood,0.0,mm,50.0,Below,Low,1.0,2027
San Francisco Bay Area,2027-03,Drought,0.0,mm,9.756336713004153e-06,Below,Low,1.0,2027
